Degree,Major,Specialization,CGPA,Skills,Certifications,Years of Experience,Preferred Industry,Internships,Job Role
M.Tech,Information Technology,Machine Learning,9.78,"Power BI, Tableau, Excel",Oracle Cloud Infrastructure,5,Retail,No,Data Analyst
B.Tech,Data Science,Machine Learning,6.48,"AWS, Terraform, DevOps Tools",AWS Certified Solutions Architect,7,Education,Yes,Data Analyst
MCA,Electrical Engineering,Data Analytics,7.31,"AWS, Terraform, DevOps Tools",Google Data Analytics,10,IT,Yes,Data Analyst
M.Sc,Information Technology,Cloud Computing,8.42,"Big Data, Hadoop, Spark",Google Cloud Engineer,2,Healthcare,No,Data Analyst
BCA,Data Science,Cybersecurity,8.8,"R, Statistics, Data Visualization",AWS Cloud Practitioner,9,Finance,No,Data Analyst
M.Tech,Electrical Engineering,Machine Learning,8.18,"Azure, Docker, Kubernetes",Microsoft Azure Fundamentals,5,IT,No,Data Analyst
M.Tech,Electronics,Cybersecurity,6.95,"R, Statistics, Data Visualization",AWS Certified Solutions Architect,4,Education,No,Cloud Engineer
M.Tech,Data Science,Cloud Computing,6.55,"AWS, Terraform, DevOps Tools",Coursera Data Analyst Certificate,2,Retail,Yes,Cloud Engineer
B.Sc,Computer Science,Networking,9.79,"AWS, Terraform, DevOps Tools",Microsoft Azure Fundamentals,8,Retail,Yes,Data Analyst
BCA,Computer Science,Cloud Computing,6.2,"AWS, Terraform, DevOps Tools",Google Cloud Engineer,8,Retail,No,Data Analyst
BCA,Computer Science,Data Analytics,8.71,"AWS, Terraform, DevOps Tools",Google Data Analytics,2,Retail,No,Cloud Engineer
MCA,Computer Science,Machine Learning,7.48,"AWS, Terraform, DevOps Tools",Oracle Cloud Infrastructure,4,Manufacturing,No,Data Analyst
M.Sc,Data Science,Machine Learning,6.96,"Big Data, Hadoop, Spark",IBM Data Science,9,Finance,No,Cloud Engineer
B.Sc,Electronics,Cloud Computing,8.23,"Cloud Security, Virtualization",LinkedIn Learning Cloud Course,9,Healthcare,No,Cloud Engineer
M.Tech,Data Science,Networking,8.47,"Python, Pandas, Numpy",LinkedIn Learning Cloud Course,10,Education,No,Data Analyst
B.Tech,Electronics,Machine Learning,6.22,"R, Statistics, Data Visualization",LinkedIn Learning Cloud Course,2,IT,No,Data Analyst
B.Tech,Information Technology,Cloud Computing,7.39,"Python, SQL, Excel",Microsoft Azure Fundamentals,4,Manufacturing,Yes,Data Analyst
MCA,Data Science,Cybersecurity,6.64,"Power BI, Tableau, Excel",Google Data Analytics,3,Manufacturing,Yes,Cloud Engineer
M.Tech,Information Technology,Networking,7.23,"Python, Pandas, Numpy",Coursera Data Analyst Certificate,9,Retail,No,Cloud Engineer
M.Sc,Data Science,Cloud Computing,7.82,"R, Statistics, Data Visualization",Google Data Analytics,8,Healthcare,Yes,Cloud Engineer
B.Sc,Electronics,Data Analytics,8.37,"Power BI, Tableau, Excel",Coursera Data Analyst Certificate,5,Manufacturing,Yes,Data Analyst
B.Sc,Electrical Engineering,Networking,9.49,"Python, SQL, Excel",AWS Cloud Practitioner,4,Healthcare,Yes,Data Analyst
BCA,Electronics,Cloud Computing,7.27,"Azure, Docker, Kubernetes",Microsoft Azure Fundamentals,3,Manufacturing,No,Data Analyst
M.Sc,Data Science,Cloud Computing,7.37,"R, Statistics, Data Visualization",Google Data Analytics,8,Retail,No,Cloud Engineer
BCA,Electrical Engineering,Cybersecurity,6.16,"AWS, Linux, Networking",AWS Certified Solutions Architect,4,Manufacturing,Yes,Data Analyst
B.Sc,Information Technology,Cloud Computing,6.19,"R, Statistics, Data Visualization",AWS Certified Solutions Architect,2,Healthcare,No,Data Analyst
M.Sc,Information Technology,Cybersecurity,9.29,"Python, Pandas, Numpy",Google Data Analytics,10,Education,No,Cloud Engineer
B.Tech,Electrical Engineering,Machine Learning,9.87,"Azure, Docker, Kubernetes",LinkedIn Learning Cloud Course,0,Retail,Yes,Data Analyst
