Degree,Major,Specialization,CGPA,Skills,Certifications,Years_of_Experience,Preferred_Industry,Job_Role
MBA,Business Administration,Business Analytics,7.26,"Excel, SEO, Python",Power BI Certification,5,FMCG,Marketing Analyst
BA,Business Administration,Strategic Marketing,6.51,"SEO, Communication, Marketing Strategy, Excel, SQL","Google Ads, Data Analytics Certificate",5,Consulting,Marketing Analyst
BA,Computer Science,E-commerce Management,8.69,"SEO, SQL, Content Writing, Excel","Udemy SEO Expert, Excel Advanced, Power BI Certification, Google Ads",5,Finance,Marketing Analyst
B.Tech,Business Administration,Advertising and Brand Management,9.03,"Communication, SEO, SQL","Udemy SEO Expert, Excel Advanced",0,Consulting,Marketing Analyst
BBA,Marketing,Business Analytics,6.29,"Excel, Marketing Strategy, SEO, Communication",Power BI Certification,5,Education,Marketing Analyst
BSc,Business Administration,Data Analytics,6.73,"Communication, Python, SQL, Power BI, SEO","Power BI Certification, Google Ads, Excel Advanced, Data Analytics Certificate",1,Media,Marketing Analyst
MSc,Economics,Marketing Management,6.26,"Content Writing, SEO, Marketing Strategy, Google Analytics, Power BI","HubSpot Marketing, Excel Advanced, Data Analytics Certificate, Power BI Certification",0,Technology,Marketing Analyst
BA,Finance,Finance and Marketing,8.76,"SQL, Power BI, Content Writing, SEO, Communication","Meta Blueprint, Data Analytics Certificate, HubSpot Marketing",2,Retail,Marketing Analyst
M.Com,Economics,Market Research and Consumer Behavior,9.06,"Power BI, Excel, Marketing Strategy, Google Analytics, SEO",Udemy SEO Expert,2,Healthcare,Marketing Analyst
BBA,Finance,Strategic Marketing,7.06,"SQL, Google Analytics, Power BI","Meta Blueprint, HubSpot Marketing, Excel Advanced, Data Analytics Certificate",3,Finance,Marketing Analyst
BBA,Statistics,Marketing Management,8.91,"Power BI, Excel, Python, Google Analytics","Data Analytics Certificate, Power BI Certification, Excel Advanced",2,FMCG,Marketing Analyst
B.Tech,Data Science,Digital Marketing,8.84,"Content Writing, Power BI, Communication","HubSpot Marketing, Meta Blueprint",1,Healthcare,Marketing Analyst
BBA,Business Administration,Market Research and Consumer Behavior,8.99,"Marketing Strategy, Content Writing, Communication, Python","Coursera Marketing, HubSpot Marketing, Google Ads",4,Finance,Marketing Analyst
BSc,Computer Science,Strategic Marketing,6.17,"Communication, Content Writing, Power BI","Power BI Certification, Meta Blueprint, HubSpot Marketing, Data Analytics Certificate",0,Education,Marketing Analyst
BA,Statistics,International Business,7.31,"Python, Excel, SEO, Marketing Strategy",Power BI Certification,5,Finance,Marketing Analyst
