Degree,Major,Specialization,CGPA,Skills,Certifications,Experience,Preferred_Industry,Job_Role
B.Tech,Marketing,Business Analytics,8.87,"Tableau, Python, Excel, Problem Solving, SQL","Excel Certification, Power BI Certification",1.3,Consulting,Business Analyst
MBA,Information Technology,Business Analytics,6.76,"Communication, Power BI, Python, SQL, Excel, Business Intelligence",Business Analytics Certification,2.3,IT Services,Business Analyst
B.Com,Information Technology,Operations,8.87,"Python, Statistics, Excel, Tableau, Data Visualization","Excel Certification, Power BI Certification, SQL Certification",2.9,Consulting,Business Analyst
B.Com,Commerce,Operations,6.69,"Excel, Statistics, Business Intelligence, SQL","Google Data Analytics, SQL Certification, Tableau Certification",2.9,E-commerce,Business Analyst
BBA,Business Administration,Data Analytics,9.19,"SQL, Excel, Python, Tableau",Business Analytics Certification,1.5,Healthcare Analytics,Business Analyst
B.Com,Business Administration,Financial Management,9.12,"Statistics, Python, Excel, Business Intelligence, Communication, Power BI","Excel Certification, Google Data Analytics, Tableau Certification",1.2,Banking,Business Analyst
B.Tech,Business Administration,Marketing Analytics,9.28,"Statistics, Business Intelligence, Problem Solving, Data Visualization",Business Analytics Certification,2.0,Marketing Analytics,Business Analyst
BBA,Data Science,Operations,9.73,"Tableau, SQL, Python, Power BI","Google Data Analytics, SQL Certification",2.2,Marketing Analytics,Business Analyst
B.Tech,Finance,Marketing Analytics,7.86,"Tableau, Problem Solving, Statistics, Excel, Business Intelligence","Tableau Certification, Google Data Analytics, SQL Certification",1.9,Banking,Business Analyst
BBA,Business Administration,Financial Management,7.96,"Excel, Communication, Business Intelligence, Data Visualization, Python, Statistics, Power BI",SQL Certification,2.1,IT Services,Business Analyst
B.Tech,Business Administration,Marketing Analytics,8.62,"Business Intelligence, SQL, Excel, Problem Solving, Communication, Power BI","Power BI Certification, SQL Certification, Business Analytics Certification",1.2,FinTech,Business Analyst
MBA,Computer Science,Business Analytics,9.74,"Tableau, Business Intelligence, SQL, Communication, Python, Data Visualization, Excel","Power BI Certification, SQL Certification",2.1,Banking,Business Analyst
MBA,Business Administration,Financial Management,9.9,"Excel, Problem Solving, Data Visualization, Business Intelligence","SQL Certification, Business Analytics Certification, Power BI Certification",0.2,IT Services,Business Analyst
MBA,Finance,Data Analytics,8.28,"Business Intelligence, Power BI, Excel, Problem Solving, Tableau, Communication, Data Visualization","Tableau Certification, SQL Certification",1.8,Marketing Analytics,Business Analyst
MBA,Data Science,Operations,8.46,"Python, Data Visualization, Excel, Communication, Business Intelligence",Power BI Certification,1.6,Healthcare Analytics,Business Analyst
BBA,Finance,Financial Management,7.05,"Excel, Problem Solving, Tableau, Statistics","SQL Certification, Google Data Analytics, Tableau Certification",0.4,Consulting,Business Analyst
BBA,Computer Science,Operations,9.82,"Python, SQL, Business Intelligence, Tableau",Google Data Analytics,2.5,Healthcare Analytics,Business Analyst
BBA,Information Technology,Business Analytics,7.2,"Business Intelligence, Excel, Tableau, Communication","SQL Certification, Google Data Analytics, Excel Certification",1.5,FinTech,Business Analyst
BBA,Data Science,Operations,7.86,"Problem Solving, SQL, Excel, Python, Statistics, Power BI","SQL Certification, Tableau Certification, Excel Certification",1.2,Healthcare Analytics,Business Analyst
BBA,Information Technology,Information Systems,6.51,"Business Intelligence, Communication, Tableau, Excel, Statistics, Data Visualization","Google Data Analytics, Excel Certification",1.1,FinTech,Business Analyst
B.Tech,Data Science,Information Systems,7.59,"Communication, Excel, Python, Business Intelligence, Problem Solving, Statistics, Data Visualization","Tableau Certification, Excel Certification, Power BI Certification",0.3,FinTech,Business Analyst
B.Com,Finance,Operations,7.31,"Python, Statistics, Business Intelligence, Communication, Tableau, Excel, SQL",Google Data Analytics,2.1,Consulting,Business Analyst
B.Tech,Business Administration,Data Analytics,7.9,"Problem Solving, Business Intelligence, Power BI, Excel, Communication, Python","Business Analytics Certification, SQL Certification, Power BI Certification",1.5,Banking,Business Analyst
MBA,Commerce,Marketing Analytics,9.77,"Problem Solving, Data Visualization, Statistics, Tableau","Business Analytics Certification, SQL Certification, Google Data Analytics",2.4,Marketing Analytics,Business Analyst
B.Tech,Business Administration,Data Analytics,8.68,"Problem Solving, Power BI, Python, SQL, Excel","Google Data Analytics, Excel Certification",1.0,Banking,Business Analyst
B.Com,Data Science,Marketing Analytics,9.82,"Communication, Excel, Statistics, Power BI, Business Intelligence","SQL Certification, Google Data Analytics",1.3,Healthcare Analytics,Business Analyst
B.Tech,Marketing,Business Analytics,7.36,"Tableau, Power BI, Communication, Problem Solving","Tableau Certification, Google Data Analytics, SQL Certification",1.5,IT Services,Business Analyst
BBA,Commerce,Operations,8.89,"Python, Business Intelligence, Communication, Power BI, Data Visualization",Google Data Analytics,1.3,Consulting,Business Analyst
BBA,Data Science,Information Systems,8.62,"Data Visualization, Excel, Statistics, Business Intelligence, Communication","Tableau Certification, Business Analytics Certification",0.6,Healthcare Analytics,Business Analyst
BBA,Computer Science,Marketing Analytics,7.35,"Communication, Problem Solving, Power BI, Statistics","Google Data Analytics, Power BI Certification, Excel Certification",2.2,Healthcare Analytics,Business Analyst
BBA,Data Science,Data Analytics,8.08,"Power BI, Python, Excel, SQL, Communication, Tableau, Business Intelligence","Excel Certification, Google Data Analytics, SQL Certification",0.5,IT Services,Business Analyst
B.Tech,Commerce,Financial Management,7.75,"Business Intelligence, Problem Solving, SQL, Power BI, Data Visualization, Python",Google Data Analytics,1.8,Consulting,Business Analyst
BBA,Data Science,Marketing Analytics,9.73,"Communication, Statistics, Problem Solving, Power BI","Google Data Analytics, Power BI Certification",1.5,Consulting,Business Analyst
B.Tech,Data Science,Information Systems,8.92,"Problem Solving, Excel, Tableau, Communication",Google Data Analytics,1.4,Healthcare Analytics,Business Analyst
BBA,Information Technology,Financial Management,9.73,"Tableau, Data Visualization, SQL, Power BI, Statistics, Communication","Tableau Certification, Power BI Certification, Excel Certification",1.5,Marketing Analytics,Business Analyst
MBA,Data Science,Financial Management,8.24,"Business Intelligence, Statistics, Data Visualization, Power BI, Problem Solving, Tableau","Google Data Analytics, SQL Certification",3.0,IT Services,Business Analyst
B.Tech,Marketing,Financial Management,9.64,"Data Visualization, Business Intelligence, Problem Solving, Tableau, Python","SQL Certification, Google Data Analytics",3.0,Healthcare Analytics,Business Analyst
B.Tech,Commerce,Financial Management,9.24,"Tableau, Python, Statistics, Communication, Data Visualization",Tableau Certification,3.0,Healthcare Analytics,Business Analyst
BBA,Business Administration,Business Analytics,6.82,"Tableau, Statistics, Python, Business Intelligence","SQL Certification, Business Analytics Certification",2.1,FinTech,Business Analyst
MBA,Business Administration,Financial Management,8.96,"Excel, Tableau, Statistics, Business Intelligence",Business Analytics Certification,2.2,IT Services,Business Analyst
