Degree,Major,Specialization,CGPA,Skills,Certification,Years of Experience,Preferred Industry,Role
B.Des,Fine Arts,Graphic Communication,8.55,"HTML, CSS, JS, UI Design, Usability Testing",IBM Design Thinking,0,Entertainment,UI/UX Designer
B.Tech,Fine Arts,Branding,7.46,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,2,Entertainment,UI/UX Designer
B.Tech,Information Technology,Interaction Design,7.89,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Graphic Design Masterclass,1,FinTech,Graphic Designer
BFA,Fine Arts,Human-Computer Interaction,8.28,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Motion Design Certification,1,IT/Software,Graphic Designer
BCA,Computer Science,Visual Communication,7.38,"Prototyping, UX Strategy, User Journey, Design Thinking",Google UX Design,0,Tech,UI/UX Designer
B.Sc,Information Technology,User Research,8.17,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Motion Design Certification,2,IT/Software,Graphic Designer
BFA,Computer Science,Visual Communication,7.81,"InDesign, After Effects, Branding, Visual Design",Motion Design Certification,4,Marketing,Graphic Designer
B.Des,Fine Arts,Graphic Communication,8.67,"InDesign, After Effects, Branding, Visual Design",Graphic Design Masterclass,3,Entertainment,Graphic Designer
BCA,Information Technology,Branding,9.05,"InDesign, After Effects, Branding, Visual Design",Coursera Graphic Design,0,Entertainment,Graphic Designer
M.Des,Information Technology,Visual Communication,8.29,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Adobe Certified Expert,2,Tech,Graphic Designer
B.Des,Information Technology,Branding,9.11,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,3,Marketing,UI/UX Designer
BCA,Design,Human-Computer Interaction,9.31,"Prototyping, UX Strategy, User Journey, Design Thinking",UI/UX Bootcamp by Udemy,1,Tech,UI/UX Designer
B.Sc,Design,Visual Communication,8.56,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,4,Marketing,Graphic Designer
B.Tech,Information Technology,Interaction Design,8.18,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,4,E-Learning,UI/UX Designer
BCA,Applied Arts,User Experience Design,8.34,"Prototyping, UX Strategy, User Journey, Design Thinking",IBM Design Thinking,1,Advertising,UI/UX Designer
BFA,Design,Interaction Design,7.71,"HTML, CSS, JS, UI Design, Usability Testing",IBM Design Thinking,2,Tech,UI/UX Designer
B.Sc,Computer Science,User Experience Design,8.13,"Prototyping, UX Strategy, User Journey, Design Thinking",UI/UX Bootcamp by Udemy,4,FinTech,UI/UX Designer
B.Des,Design,Branding,7.88,"InDesign, After Effects, Branding, Visual Design",Adobe Certified Expert,0,FinTech,Graphic Designer
B.Sc,Applied Arts,User Research,9.19,"React, CSS, UX Research, Accessibility, UI Flow",IBM Design Thinking,4,IT/Software,UI/UX Designer
M.Des,Design,Visual Communication,8.41,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Adobe Certified Expert,0,IT/Software,Graphic Designer
B.Tech,Information Technology,User Experience Design,8.55,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Coursera Graphic Design,3,Tech,Graphic Designer
BCA,Applied Arts,Human-Computer Interaction,9.06,"React, CSS, UX Research, Accessibility, UI Flow",Google UX Design,2,E-Learning,UI/UX Designer
BCA,Computer Science,Visual Communication,9.16,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Google UX Design,1,Entertainment,UI/UX Designer
BFA,Computer Science,Graphic Communication,8.33,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,2,Advertising,UI/UX Designer
BFA,Fine Arts,User Research,8.59,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Coursera UX Fundamentals,1,Entertainment,UI/UX Designer
B.Tech,Design,Human-Computer Interaction,8.16,"HTML, CSS, JS, UI Design, Usability Testing",IBM Design Thinking,0,Tech,UI/UX Designer
B.Des,Information Technology,Interaction Design,7.17,"InDesign, After Effects, Branding, Visual Design",Canva Pro Certification,0,Marketing,Graphic Designer
BCA,Computer Science,Visual Communication,9.42,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Adobe Certified Expert,2,Tech,Graphic Designer
BCA,Applied Arts,Graphic Communication,7.68,"InDesign, After Effects, Branding, Visual Design",Canva Pro Certification,2,E-Learning,Graphic Designer
B.Des,Information Technology,Branding,8.85,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Nielsen Norman UX Certificate,2,Marketing,UI/UX Designer
B.Sc,Applied Arts,User Experience Design,7.76,"Prototyping, UX Strategy, User Journey, Design Thinking",UI/UX Bootcamp by Udemy,3,Advertising,UI/UX Designer
B.Sc,Applied Arts,Motion Graphics,8.13,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Coursera Graphic Design,4,Media,Graphic Designer
BCA,Fine Arts,Motion Graphics,9.1,"InDesign, After Effects, Branding, Visual Design",Adobe Certified Expert,4,E-Learning,Graphic Designer
B.Tech,Design,Motion Graphics,9.16,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,2,Marketing,UI/UX Designer
M.Des,Information Technology,Graphic Communication,9.45,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Canva Pro Certification,3,Advertising,Graphic Designer
BCA,Information Technology,User Experience Design,8.72,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,0,E-Learning,UI/UX Designer
B.Des,Computer Science,Human-Computer Interaction,7.2,"InDesign, After Effects, Branding, Visual Design",Canva Pro Certification,1,Media,Graphic Designer
B.Tech,Computer Science,Visual Communication,8.62,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",Nielsen Norman UX Certificate,2,Tech,UI/UX Designer
B.Des,Applied Arts,Branding,7.27,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,1,IT/Software,UI/UX Designer
BCA,Applied Arts,Interaction Design,8.14,"HTML, CSS, JS, UI Design, Usability Testing",UI/UX Bootcamp by Udemy,3,Tech,UI/UX Designer
M.Des,Computer Science,Branding,8.62,"InDesign, After Effects, Branding, Visual Design",Coursera Graphic Design,2,Tech,Graphic Designer
B.Tech,Fine Arts,Graphic Communication,9.46,"InDesign, After Effects, Branding, Visual Design",Graphic Design Masterclass,1,FinTech,Graphic Designer
B.Tech,Applied Arts,Visual Communication,8.93,"Prototyping, UX Strategy, User Journey, Design Thinking",Nielsen Norman UX Certificate,2,Advertising,UI/UX Designer
BFA,Information Technology,Visual Communication,7.4,"HTML, CSS, JS, UI Design, Usability Testing",UI/UX Bootcamp by Udemy,4,Advertising,UI/UX Designer
M.Des,Computer Science,Motion Graphics,7.97,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Motion Design Certification,2,Advertising,Graphic Designer
BCA,Design,User Experience Design,8.78,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Graphic Design Masterclass,2,IT/Software,Graphic Designer
B.Tech,Information Technology,Visual Communication,7.67,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,4,Entertainment,Graphic Designer
BFA,Fine Arts,Graphic Communication,7.99,"Figma, Adobe XD, Wireframing, Prototyping, UX Research",UI/UX Bootcamp by Udemy,0,E-Learning,UI/UX Designer
B.Sc,Computer Science,Branding,8.14,"Photoshop, Illustrator, CorelDRAW, Logo Design, Typography",Motion Design Certification,4,Media,Graphic Designer
BCA,Design,Graphic Communication,8.93,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Coursera Graphic Design,2,IT/Software,Graphic Designer
B.Tech,Applied Arts,Human-Computer Interaction,7.1,"HTML, CSS, JS, UI Design, Usability Testing",Nielsen Norman UX Certificate,3,Marketing,UI/UX Designer
BFA,Fine Arts,Motion Graphics,8.28,"Premiere Pro, After Effects, Graphic Layout, Creative Direction",Motion Design Certification,0,Entertainment,Graphic Designer
B.Tech,Computer Science,Graphic Communication,7.78,"React, CSS, UX Research, Accessibility, UI Flow",IBM Design Thinking,1,Marketing,UI/UX Designer
BCA,Information Technology,Motion Graphics,7.91,"Canva, Adobe Photoshop, Motion Graphics, Illustration",Adobe Certified Expert,0,FinTech,Graphic Designer
