Degree,Major,Specialization,CGPA,Skills,Certifications,Experience,Preferred_Industry,Job_Role
BBA,Marketing,Media Studies,7.05,"Creativity, Social Media Marketing, SEO, WordPress",Copywriting Certification,1.9,EdTech,Content Strategist
MBA,Business Administration,Brand Communication,8.57,"WordPress, Content Writing, Research, Creativity, Communication, Analytics","HubSpot Content Marketing, Google Digital Marketing",4.6,Media,Content Strategist
BBA,Digital Media,SEO Strategy,6.61,"Copywriting, Analytics, Communication, SEO","SEO Certification, Social Media Strategy",2.2,IT Services,Content Strategist
BBA,Digital Media,Digital Marketing,9.77,"Communication, WordPress, Creativity, Content Writing",HubSpot Content Marketing,4.0,Media,Content Strategist
B.Tech,Marketing,Media Studies,8.72,"Communication, SEO, Social Media Marketing, Analytics, WordPress, Branding, Content Writing","Social Media Strategy, Copywriting Certification",1.5,Media,Content Strategist
MA,Journalism,Copywriting,9.91,"Research, Branding, Social Media Marketing, WordPress","SEO Certification, Copywriting Certification, Social Media Strategy",5.0,Media,Content Strategist
BA,Journalism,Digital Marketing,8.72,"Content Writing, Social Media Marketing, Communication, Branding, SEO, Creativity, Analytics",HubSpot Content Marketing,1.2,E-commerce,Content Strategist
MA,Computer Science,Content Marketing,7.89,"Social Media Marketing, Research, SEO, Branding",Social Media Strategy,1.4,Advertising,Content Strategist
B.Tech,Digital Media,Media Studies,7.79,"WordPress, Copywriting, SEO, Content Writing, Research, Analytics",SEO Certification,0.3,Digital Marketing,Content Strategist
MA,English,Brand Communication,9.93,"Content Writing, WordPress, Creativity, Copywriting, Analytics, Branding",SEO Certification,4.5,Advertising,Content Strategist
BBA,Marketing,Digital Marketing,9.28,"Research, Social Media Marketing, Analytics, Copywriting, Content Writing, Creativity, WordPress","Google Digital Marketing, SEO Certification, HubSpot Content Marketing",4.7,IT Services,Content Strategist
MA,Computer Science,Digital Marketing,9.84,"Social Media Marketing, Copywriting, SEO, Communication, Research, Creativity",Copywriting Certification,1.6,Advertising,Content Strategist
BA,Journalism,Brand Communication,9.01,"Copywriting, Content Writing, Creativity, Branding, Analytics, Communication, SEO","Social Media Strategy, Google Digital Marketing, HubSpot Content Marketing",4.9,Digital Marketing,Content Strategist
MBA,Computer Science,Brand Communication,8.03,"Analytics, WordPress, SEO, Content Writing, Copywriting, Branding",SEO Certification,0.5,E-commerce,Content Strategist
MBA,English,Brand Communication,7.51,"Research, Branding, WordPress, Copywriting","Google Digital Marketing, HubSpot Content Marketing",3.8,Digital Marketing,Content Strategist
MBA,Journalism,Brand Communication,8.02,"Content Writing, WordPress, Creativity, Communication, Research, SEO, Copywriting",Google Digital Marketing,4.7,IT Services,Content Strategist
MA,Communication,Content Marketing,7.16,"SEO, Creativity, Branding, Social Media Marketing, Analytics, Communication","Social Media Strategy, HubSpot Content Marketing, SEO Certification",2.0,Public Relations,Content Strategist
MBA,Marketing,Content Marketing,9.68,"Communication, Content Writing, WordPress, SEO, Branding, Social Media Marketing, Copywriting",SEO Certification,0.7,Advertising,Content Strategist
BBA,Digital Media,Media Studies,6.99,"Branding, Social Media Marketing, Communication, Copywriting, Content Writing, Creativity","HubSpot Content Marketing, Copywriting Certification",4.2,EdTech,Content Strategist
BBA,Marketing,Content Marketing,9.46,"WordPress, Analytics, Creativity, Content Writing, Branding, SEO","SEO Certification, Google Digital Marketing, Copywriting Certification",4.8,IT Services,Content Strategist
B.Tech,English,Brand Communication,8.68,"Analytics, WordPress, Branding, Creativity","Copywriting Certification, HubSpot Content Marketing",0.6,Digital Marketing,Content Strategist
BBA,Marketing,SEO Strategy,9.76,"Research, Branding, Copywriting, Social Media Marketing, SEO, Creativity","HubSpot Content Marketing, Social Media Strategy",3.0,EdTech,Content Strategist
MBA,English,Digital Marketing,8.3,"Research, Communication, WordPress, Social Media Marketing","Social Media Strategy, SEO Certification",0.3,Media,Content Strategist
MA,Journalism,Brand Communication,9.08,"Analytics, Research, WordPress, Branding, Content Writing, Copywriting, Communication","SEO Certification, Google Digital Marketing, Social Media Strategy",1.3,EdTech,Content Strategist
MA,Computer Science,SEO Strategy,7.68,"Creativity, Social Media Marketing, Copywriting, WordPress, SEO, Content Writing","HubSpot Content Marketing, Social Media Strategy",3.9,E-commerce,Content Strategist
MA,Marketing,SEO Strategy,9.18,"Research, Copywriting, Content Writing, Social Media Marketing, Communication, SEO, Branding","Social Media Strategy, Google Digital Marketing",2.4,E-commerce,Content Strategist
BBA,Communication,Content Marketing,7.81,"Research, Branding, WordPress, Communication, Social Media Marketing","Google Digital Marketing, Copywriting Certification, SEO Certification",0.3,Public Relations,Content Strategist
MBA,Communication,SEO Strategy,6.89,"Branding, Content Writing, WordPress, Social Media Marketing, Copywriting","Social Media Strategy, SEO Certification",3.1,EdTech,Content Strategist
BA,Journalism,Copywriting,7.31,"Social Media Marketing, Content Writing, Copywriting, SEO, Analytics","SEO Certification, Social Media Strategy",2.0,Digital Marketing,Content Strategist
MA,Journalism,Brand Communication,8.22,"Creativity, Analytics, Social Media Marketing, Research, Branding, Copywriting","HubSpot Content Marketing, SEO Certification",2.0,Digital Marketing,Content Strategist
BA,Journalism,Media Studies,8.82,"Copywriting, Communication, Analytics, Content Writing, Research, WordPress",Google Digital Marketing,2.1,Digital Marketing,Content Strategist
BA,Digital Media,SEO Strategy,9.38,"Social Media Marketing, Research, Copywriting, Creativity, Branding, Communication, Analytics",Social Media Strategy,3.8,Digital Marketing,Content Strategist
BA,Communication,Copywriting,6.83,"Branding, Content Writing, Communication, Creativity, SEO, Analytics, Social Media Marketing","SEO Certification, Copywriting Certification",1.0,IT Services,Content Strategist
BA,Journalism,Media Studies,9.92,"Communication, Content Writing, Analytics, WordPress, Creativity",HubSpot Content Marketing,3.9,IT Services,Content Strategist
BBA,English,Content Marketing,8.67,"Copywriting, Branding, SEO, Analytics, Creativity, WordPress","Social Media Strategy, Copywriting Certification",2.7,EdTech,Content Strategist
BA,Computer Science,Copywriting,7.67,"Content Writing, Communication, Research, WordPress, Social Media Marketing, SEO, Branding",HubSpot Content Marketing,1.5,E-commerce,Content Strategist
B.Tech,Computer Science,Media Studies,9.59,"Research, SEO, Content Writing, Branding","Copywriting Certification, HubSpot Content Marketing",2.0,Advertising,Content Strategist
